algorithm,benchmark,seed,evaluations,best_value
genetic_algorithm,rosenbrock,0,100,48612.506767640785
genetic_algorithm,rosenbrock,0,200,17199.16709780734
genetic_algorithm,rosenbrock,0,300,3933.0842723628252
genetic_algorithm,rosenbrock,0,400,3933.0842723628252
genetic_algorithm,rosenbrock,0,500,696.7303869418572
genetic_algorithm,rosenbrock,0,600,477.8490947368816
genetic_algorithm,rosenbrock,0,700,252.24044399715262
genetic_algorithm,rosenbrock,0,800,225.91306282491462
genetic_algorithm,rosenbrock,0,900,168.71628238125766
genetic_algorithm,rosenbrock,0,1000,155.30226017167163
genetic_algorithm,rosenbrock,0,1100,155.30226017167163
genetic_algorithm,rosenbrock,0,1200,137.51785333786336
genetic_algorithm,rosenbrock,0,1300,120.36114146299326
genetic_algorithm,rosenbrock,0,1400,111.8553402208007
genetic_algorithm,rosenbrock,0,1500,108.02040763283257
genetic_algorithm,rosenbrock,0,1600,104.96804509301704
genetic_algorithm,rosenbrock,0,1700,104.96804509301704
genetic_algorithm,rosenbrock,0,1800,104.96804509301704
genetic_algorithm,rosenbrock,0,1900,101.82152605543435
genetic_algorithm,rosenbrock,0,2000,101.82152605543435
genetic_algorithm,rosenbrock,0,2100,89.73421444381519
genetic_algorithm,rosenbrock,0,2200,89.73421444381519
genetic_algorithm,rosenbrock,0,2300,89.73421444381519
genetic_algorithm,rosenbrock,0,2400,89.73421444381519
genetic_algorithm,rosenbrock,0,2500,89.73421444381519
genetic_algorithm,rosenbrock,0,2600,89.73421444381519
genetic_algorithm,rosenbrock,0,2700,89.73421444381519
genetic_algorithm,rosenbrock,0,2800,89.73421444381519
genetic_algorithm,rosenbrock,0,2900,89.73421444381519
genetic_algorithm,rosenbrock,0,3000,87.61189577922602
genetic_algorithm,rosenbrock,0,3100,87.61189577922602
genetic_algorithm,rosenbrock,0,3200,87.61189577922602
genetic_algorithm,rosenbrock,0,3300,84.8766701665043
genetic_algorithm,rosenbrock,0,3400,84.8766701665043
genetic_algorithm,rosenbrock,0,3500,84.8766701665043
genetic_algorithm,rosenbrock,0,3600,84.8766701665043
genetic_algorithm,rosenbrock,0,3700,84.10239405130545
genetic_algorithm,rosenbrock,0,3800,83.84919694683089
genetic_algorithm,rosenbrock,0,3900,83.84919694683089
genetic_algorithm,rosenbrock,0,4000,82.54239793359942
genetic_algorithm,rosenbrock,0,4100,78.65310717383116
genetic_algorithm,rosenbrock,0,4200,78.65310717383116
genetic_algorithm,rosenbrock,0,4300,78.65310717383116
genetic_algorithm,rosenbrock,0,4400,78.65310717383116
genetic_algorithm,rosenbrock,0,4500,78.65310717383116
genetic_algorithm,rosenbrock,0,4600,78.65310717383116
genetic_algorithm,rosenbrock,0,4700,75.88098465190862
genetic_algorithm,rosenbrock,0,4800,74.72611534049668
genetic_algorithm,rosenbrock,0,4900,74.72611534049668
genetic_algorithm,rosenbrock,0,5000,74.72611534049668
genetic_algorithm,rosenbrock,0,5100,74.72611534049668
genetic_algorithm,rosenbrock,0,5200,74.72611534049668
genetic_algorithm,rosenbrock,0,5300,74.11482646887242
genetic_algorithm,rosenbrock,0,5400,73.96044978789055
genetic_algorithm,rosenbrock,0,5500,73.96044978789055
genetic_algorithm,rosenbrock,0,5600,73.96044978789055
genetic_algorithm,rosenbrock,0,5700,73.96044978789055
genetic_algorithm,rosenbrock,0,5800,70.58730750881257
genetic_algorithm,rosenbrock,0,5900,70.58730750881257
genetic_algorithm,rosenbrock,0,6000,70.58730750881257
genetic_algorithm,rosenbrock,0,6100,66.74126315607154
genetic_algorithm,rosenbrock,0,6200,66.2959342529939
genetic_algorithm,rosenbrock,0,6300,65.7478119008082
genetic_algorithm,rosenbrock,0,6400,61.5346985536651
genetic_algorithm,rosenbrock,0,6500,61.5346985536651
genetic_algorithm,rosenbrock,0,6600,54.763991586013056
genetic_algorithm,rosenbrock,0,6700,39.89199086789995
genetic_algorithm,rosenbrock,0,6800,31.896022234187452
genetic_algorithm,rosenbrock,0,6900,16.569801788133905
genetic_algorithm,rosenbrock,0,7000,15.108651189444515
genetic_algorithm,rosenbrock,0,7100,15.108651189444515
genetic_algorithm,rosenbrock,0,7200,14.296988799043792
genetic_algorithm,rosenbrock,0,7300,14.296988799043792
genetic_algorithm,rosenbrock,0,7400,14.296988799043792
genetic_algorithm,rosenbrock,0,7500,14.296988799043792
genetic_algorithm,rosenbrock,0,7600,13.621178727783693
genetic_algorithm,rosenbrock,0,7700,13.621178727783693
genetic_algorithm,rosenbrock,0,7800,13.157490597765193
genetic_algorithm,rosenbrock,0,7900,13.050326005394888
genetic_algorithm,rosenbrock,0,8000,13.050326005394888
genetic_algorithm,rosenbrock,0,8100,13.050326005394888
genetic_algorithm,rosenbrock,0,8200,13.050326005394888
genetic_algorithm,rosenbrock,0,8300,13.050326005394888
genetic_algorithm,rosenbrock,0,8400,13.050326005394888
genetic_algorithm,rosenbrock,0,8500,13.050326005394888
genetic_algorithm,rosenbrock,0,8600,12.613597165172662
genetic_algorithm,rosenbrock,0,8700,12.613597165172662
genetic_algorithm,rosenbrock,0,8800,12.613597165172662
genetic_algorithm,rosenbrock,0,8900,12.613597165172662
genetic_algorithm,rosenbrock,0,9000,12.613597165172662
genetic_algorithm,rosenbrock,0,9100,12.613597165172662
genetic_algorithm,rosenbrock,0,9200,12.613597165172662
genetic_algorithm,rosenbrock,0,9300,12.613597165172662
genetic_algorithm,rosenbrock,0,9400,12.613597165172662
genetic_algorithm,rosenbrock,0,9500,12.613597165172662
genetic_algorithm,rosenbrock,0,9600,10.79628452337829
genetic_algorithm,rosenbrock,0,9700,10.79628452337829
genetic_algorithm,rosenbrock,0,9800,10.79628452337829
genetic_algorithm,rosenbrock,0,9900,10.79628452337829
genetic_algorithm,rosenbrock,0,10000,10.79628452337829
genetic_algorithm,rosenbrock,0,10100,10.79628452337829
genetic_algorithm,rosenbrock,0,10200,10.601444420240561
genetic_algorithm,rosenbrock,0,10300,10.601444420240561
genetic_algorithm,rosenbrock,0,10400,10.601444420240561
genetic_algorithm,rosenbrock,0,10500,10.601444420240561
genetic_algorithm,rosenbrock,0,10600,10.601444420240561
genetic_algorithm,rosenbrock,0,10700,10.601444420240561
genetic_algorithm,rosenbrock,0,10800,10.601444420240561
genetic_algorithm,rosenbrock,0,10900,10.601444420240561
genetic_algorithm,rosenbrock,0,11000,10.601444420240561
genetic_algorithm,rosenbrock,0,11100,10.601444420240561
genetic_algorithm,rosenbrock,0,11200,10.601444420240561
genetic_algorithm,rosenbrock,0,11300,10.601444420240561
genetic_algorithm,rosenbrock,0,11400,10.601444420240561
genetic_algorithm,rosenbrock,0,11500,10.601444420240561
genetic_algorithm,rosenbrock,0,11600,10.535828841146397
genetic_algorithm,rosenbrock,0,11700,10.535828841146397
genetic_algorithm,rosenbrock,0,11800,10.535828841146397
genetic_algorithm,rosenbrock,0,11900,10.535828841146397
genetic_algorithm,rosenbrock,0,12000,10.535828841146397
genetic_algorithm,rosenbrock,0,12100,10.535828841146397
genetic_algorithm,rosenbrock,0,12200,10.535828841146397
genetic_algorithm,rosenbrock,0,12300,10.535828841146397
genetic_algorithm,rosenbrock,0,12400,10.535828841146397
genetic_algorithm,rosenbrock,0,12500,10.535828841146397
genetic_algorithm,rosenbrock,0,12600,10.535828841146397
genetic_algorithm,rosenbrock,0,12700,10.535828841146397
genetic_algorithm,rosenbrock,0,12800,10.535828841146397
genetic_algorithm,rosenbrock,0,12900,10.535828841146397
genetic_algorithm,rosenbrock,0,13000,10.535828841146397
genetic_algorithm,rosenbrock,0,13100,10.535828841146397
genetic_algorithm,rosenbrock,0,13200,10.535828841146397
genetic_algorithm,rosenbrock,0,13300,10.535828841146397
genetic_algorithm,rosenbrock,0,13400,10.535828841146397
genetic_algorithm,rosenbrock,0,13500,10.535828841146397
genetic_algorithm,rosenbrock,0,13600,10.535828841146397
genetic_algorithm,rosenbrock,0,13700,10.535828841146397
genetic_algorithm,rosenbrock,0,13800,10.535828841146397
genetic_algorithm,rosenbrock,0,13900,10.535828841146397
genetic_algorithm,rosenbrock,0,14000,10.535828841146397
genetic_algorithm,rosenbrock,0,14100,10.535828841146397
genetic_algorithm,rosenbrock,0,14200,10.535828841146397
genetic_algorithm,rosenbrock,0,14300,9.401804981458264
genetic_algorithm,rosenbrock,0,14400,9.401804981458264
genetic_algorithm,rosenbrock,0,14500,9.401804981458264
genetic_algorithm,rosenbrock,0,14600,9.401804981458264
genetic_algorithm,rosenbrock,0,14700,9.401804981458264
genetic_algorithm,rosenbrock,0,14800,9.401804981458264
genetic_algorithm,rosenbrock,0,14900,9.401804981458264
genetic_algorithm,rosenbrock,0,15000,9.401804981458264
genetic_algorithm,rosenbrock,0,15100,9.401804981458264
genetic_algorithm,rosenbrock,0,15200,8.993885851009244
genetic_algorithm,rosenbrock,0,15300,8.993885851009244
genetic_algorithm,rosenbrock,0,15400,8.993885851009244
genetic_algorithm,rosenbrock,0,15500,8.993885851009244
genetic_algorithm,rosenbrock,0,15600,8.993885851009244
genetic_algorithm,rosenbrock,0,15700,8.993885851009244
genetic_algorithm,rosenbrock,0,15800,8.993885851009244
genetic_algorithm,rosenbrock,0,15900,8.993885851009244
genetic_algorithm,rosenbrock,0,16000,8.993885851009244
genetic_algorithm,rosenbrock,0,16100,8.993885851009244
genetic_algorithm,rosenbrock,0,16200,8.993885851009244
genetic_algorithm,rosenbrock,0,16300,8.993885851009244
genetic_algorithm,rosenbrock,0,16400,8.993885851009244
genetic_algorithm,rosenbrock,0,16500,8.993885851009244
genetic_algorithm,rosenbrock,0,16600,8.993885851009244
genetic_algorithm,rosenbrock,0,16700,8.993885851009244
genetic_algorithm,rosenbrock,0,16800,8.993885851009244
