algorithm,benchmark,seed,evaluations,best_value
simulated_annealing,sphere,0,100,35.340006924451906
simulated_annealing,sphere,0,200,2.1304013248149865
simulated_annealing,sphere,0,300,1.896811275331826
simulated_annealing,sphere,0,400,1.896811275331826
simulated_annealing,sphere,0,500,1.896811275331826
simulated_annealing,sphere,0,600,1.896811275331826
simulated_annealing,sphere,0,700,1.1287255835516397
simulated_annealing,sphere,0,800,1.1287255835516397
simulated_annealing,sphere,0,900,1.1287255835516397
simulated_annealing,sphere,0,1000,0.3856044464265183
simulated_annealing,sphere,0,1100,0.3856044464265183
simulated_annealing,sphere,0,1200,0.3856044464265183
simulated_annealing,sphere,0,1300,0.3856044464265183
simulated_annealing,sphere,0,1400,0.3856044464265183
simulated_annealing,sphere,0,1500,0.3856044464265183
simulated_annealing,sphere,0,1600,0.3856044464265183
simulated_annealing,sphere,0,1700,0.3856044464265183
simulated_annealing,sphere,0,1800,0.3856044464265183
simulated_annealing,sphere,0,1900,0.3856044464265183
simulated_annealing,sphere,0,2000,0.3856044464265183
simulated_annealing,sphere,0,2100,0.3856044464265183
simulated_annealing,sphere,0,2200,0.3856044464265183
simulated_annealing,sphere,0,2300,0.3856044464265183
simulated_annealing,sphere,0,2400,0.3856044464265183
simulated_annealing,sphere,0,2500,0.3856044464265183
simulated_annealing,sphere,0,2600,0.3856044464265183
simulated_annealing,sphere,0,2700,0.3316595918469621
simulated_annealing,sphere,0,2800,0.3316595918469621
simulated_annealing,sphere,0,2900,0.3316595918469621
simulated_annealing,sphere,0,3000,0.3316595918469621
simulated_annealing,sphere,0,3100,0.3316595918469621
simulated_annealing,sphere,0,3200,0.3316595918469621
simulated_annealing,sphere,0,3300,0.3316595918469621
simulated_annealing,sphere,0,3400,0.3316595918469621
simulated_annealing,sphere,0,3500,0.2939164038807613
simulated_annealing,sphere,0,3600,0.2939164038807613
simulated_annealing,sphere,0,3700,0.22028675399855083
simulated_annealing,sphere,0,3800,0.22028675399855083
simulated_annealing,sphere,0,3900,0.22028675399855083
simulated_annealing,sphere,0,4000,0.22028675399855083
simulated_annealing,sphere,0,4100,0.22028675399855083
simulated_annealing,sphere,0,4200,0.22028675399855083
simulated_annealing,sphere,0,4300,0.22028675399855083
simulated_annealing,sphere,0,4400,0.22028675399855083
simulated_annealing,sphere,0,4500,0.20367907382524372
